Year,Names,Publisher,Country,Sales
1998,Rugrats: Search For Reptar,THQ,us,3.34
1998,WCW/nWo Revenge,THQ,us,2.38
1998,WCW Nitro,THQ,us,2.09
1998,Toy Story 2: Buzz Lightyear to the Rescue!,Activision,us,2.64
1998,A Collection of Activision Classic Games for the Atari 2600,Activision,us,1.37
1998,Vigilante 8,Activision,us,1.54
1998,Cool Boarders 3,989 Studios,us,2.31
1998,Twisted Metal III,989 Studios,us,1.73
1998,NFL GameDay 99,989 Studios,us,1.53
1998,Resident Evil 2,Virgin Interactive,uk,6.44
1998,Street Fighter Alpha 3,Virgin Interactive,uk,1.03
1998,Command & Conquer: Red Alert Retaliation,Virgin Interactive,uk,0.7
1998,Colin McRae Rally,Codemasters,uk,2.87
1998,TOCA 2: Touring Cars,Codemasters,uk,1.32
1998,Brian Lara Cricket,Codemasters,uk,1.26
1998,Tomb Raider: The Last Revelation,Eidos Interactive,uk,2.48
1998,Fear Effect,Eidos Interactive,uk,0.72
1998,Ninja: Shadow of Darkness,Eidos Interactive,uk,0.38
1998,Heart of Darkness,Ocean,uk,0.32
1998,Lucky Luke,Ocean,uk,0.24
1998,Fighters Destiny,Ocean,uk,0.16
1998,Rascal,Psygnosis,uk,0.42
1998,Colony Wars: Vengeance,Psygnosis,uk,0.23
1998,Blast Radius,Psygnosis,uk,0.07
1998,Demolition Racer,Infogrames,fr,0.31
1998,Lode Runner 3-D,Infogrames,fr,0.1
1998,V-Rally Edition 99,Infogrames,fr,0.09
1998,Evil Zone,Titus,fr,0.25
1998,Virtual Chess 64,Titus,fr,0.06
1998,Buck Bumble,Ubisoft,fr,0.16
1998,S.C.A.R.S,Ubisoft,fr,0.14
1998,Assault: Retribution,Telstar,nl,0.13
1998,Wreckin Crew,Telstar,nl,0.08
1998,Option Tuning Car Battle,MTO,ca,0.1
1998,Tiny Toon Adventures: Toonenstein - Dare to Scare,Swing! Entertainment,de,0.05
1999,Gran Turismo 2,Sony Computer Entertainment,jp,9.49
1999,Crash Team Racing,Sony Computer Entertainment,jp,4.79
1999,Spyro 2: Ripto's Rage!,Sony Computer Entertainment,jp,3.52
1999,Super Smash Bros.,Nintendo,jp,5.55
1999,Pokemon Stadium,Nintendo,jp,5.45
1999,Donkey Kong 64,Nintendo,jp,5.27
1999,Final Fantasy VIII,SquareSoft,jp,7.86
1999,Chrono Cross,SquareSoft,jp,1.86
1999,Legend of Mana,SquareSoft,jp,1.11
1999,Yu-Gi-Oh! Forbidden Memories,Konami Digital Entertainment,jp,1.88
1999,Silent Hill,Konami Digital Entertainment,jp,1.6
1999,Dance Dance Revolution (Japan),Konami Digital Entertainment,jp,1.35
1999,Namco Museum 64,Namco Bandai Games,jp,1.45
1999,Digimon World,Namco Bandai Games,jp,1.3
1999,SD Gundam G Generation Zero,Namco Bandai Games,jp,0.55
1999,007: Tomorrow Never Dies,Electronic Arts,us,3.21
1999,Need For Speed: High Stakes,Electronic Arts,us,2.31
1999,NASCAR 2000,Electronic Arts,us,2.12
1999,Tony Hawk's Pro Skater,Activision,us,7.13
1999,Vigilante 8: 2nd Offense,Activision,us,0.59
1999,A Collection of Classic Games from the Intellivision,Activision,us,0.31
1999,Driver,GT Interactive,us,6.27
1999,40 Winks,GT Interactive,us,0.31
1999,Duke Nukem: Zero Hour,GT Interactive,us,0.26
1999,NFL GameDay 2000,989 Studios,us,1.8
1999,Twisted Metal 4,989 Studios,us,1.28
1999,3Xtreme,989 Studios,us,0.9
1999,Army Men 3D,3DO,us,1.28
1999,Army Men: Air Attack,3DO,us,0.85
1999,Army Men: Sarge's Heroes,3DO,us,1.37
1999,Warzone 2100,Eidos Interactive,uk,5.01
1999,Resident Evil 3: Nemesis,Eidos Interactive,uk,3.8
1999,Tomb Raider Chronicles,Eidos Interactive,uk,0.61
1999,LEGO Racers,LEGO Media,uk,1.07
1999,LEGO Rock Raiders,LEGO Media,uk,0.1
1999,MTV Music Generator,Codemasters,uk,0.47
1999,Micro Machines 64 Turbo,Codemasters,uk,0.14
1999,WipEout 3,Psygnosis,uk,0.34
1999,Rollcage,Psygnosis,uk,0.21
1999,G-Police: Weapons of Justice,Psygnosis,uk,0.06
1999,Bloody Roar II,Virgin Interactive,uk,0.46
1999,Jojo's Bizarre Adventure,Virgin Interactive,uk,0.02
1999,Silent Bomber,Virgin Interactive,uk,0.02
1999,The Dukes of Hazzard: Racing for Home,Ubisoft,fr,1.19
1999,SnoCross Championship Racing,Ubisoft,fr,0.93
1999,Rayman 2: The Great Escape,Ubisoft,fr,0.96
1999,Superman: The New Superman Adventures,Titus,fr,0.41
1999,Xena: Warrior Princess - The Talisman of Fate,Titus,fr,0.29
1999,Roadsters 99,Titus,fr,0.2
1999,Bugs Bunny: Lost in Time,Infogrames,fr,0.4
1999,Gekido,Infogrames,fr,0.1
1999,Expendable,Infogrames,fr,0.05
