Name,Platform,Year,Publisher,Global_Sales,Total_Sales
WWE SmackDown! Shut Your Mouth,PS2,2002,THQ,3.02,3.02
Gears of War: Ultimate Edition,XOne,2015,Microsoft Game Studios,3.0,3.0
NBA 2K13,MULTI,2012,Take-Two Interactive,3.0,6.07
Dragon Ball Z: Budokai Tenkaichi 3,MULTI,2007,Atari,3.0,4.04
wwe Smackdown vs. Raw 2006,PS2,0,0,3.0,3.0
Middle-Earth: Shadow of Mordor,MULTI,2014,Warner Bros. Interactive Entertainment,2.99,5.49
Star Fox,SNES,1993,Nintendo,2.99,2.99
World Soccer Winning Eleven 6 International,PS2,2002,Konami Digital Entertainment,2.99,2.99
Devil May Cry,PS2,2001,Capcom,2.99,2.99
Sonic Heroes,MULTI,2003,Sega,2.96,5.46
Hitman 2: Silent Assassin,MULTI,2002,Eidos Interactive,2.96,4.28
Wave Race 64,N64,1996,Nintendo,2.94,2.94
SOCOM II: U.S. Navy SEALs,PS2,2003,Sony Computer Entertainment,2.94,2.94
WWE SmackDown! vs. RAW 2006,PS2,2005,THQ,2.94,2.94
inFAMOUS,PS3,2009,Sony Computer Entertainment,2.94,2.94
Mass Effect,X360,2007,Microsoft Game Studios,2.93,2.93
WarioWare: Smooth Moves,Wii,2006,Nintendo,2.92,2.92
Cooking Mama: Cook Off,Wii,2007,505 Games,2.91,2.91
Titanfall,MULTI,2014,Electronic Arts,2.9,4.279999999999999
Sonic Mega Collection Plus,MULTI,2004,Sega,2.9,3.81
Sega Superstars Tennis,MULTI,2008,Sega,2.9,4.74
World Soccer Winning Eleven 7 International,PS2,2003,Konami Digital Entertainment,2.9,2.9
Hot Shots Golf 3,PS2,2001,Sony Computer Entertainment,2.89,2.89
Call of Duty: Finest Hour,MULTI,2004,Activision,2.89,4.5
Zumba Fitness 2,Wii,2011,Majesco Entertainment,2.88,2.88
Syphon Filter,PS,1999,Sony Computer Entertainment,2.88,2.88
Colin McRae Rally,PS,1998,Codemasters,2.87,2.87
Madden NFL 13,MULTI,2012,Electronic Arts,2.86,6.21
The Elder Scrolls III: Morrowind,XB,2002,Ubisoft,2.86,2.86
Mortal Kombat,MULTI,2011,Warner Bros. Interactive Entertainment,2.85,7.63
F-Zero,SNES,1990,Nintendo,2.85,2.85
Yoshi's Story,N64,1997,Nintendo,2.85,2.85
Skylanders: Spyro's Adventure,MULTI,2011,Activision,2.85,4.77
